Èíslo jednací ;Datum a èas ;Typ události ;Typ podrobnì ;Zpùsob øešení ;Pokuta ;Ulice 
2023/56998 ;08.08.2023 7:57;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, Nemocnièní 
2023/56083 ;03.08.2023 16:07;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, Josefa Lady 5 
2023/56018 ;03.08.2023 8:56;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42b (právnická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Zborovská 
2023/55955 ;03.08.2023 8:30;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Sedlecká 7 
2023/55601 ;31.07.2023 13:58;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, U Radbuzy 22 
2023/55427 ;28.07.2023 14:18;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Severní 55 
2023/55371 ;31.07.2023 11:53;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Alešova 12 
2023/55327 ;31.07.2023 8:59;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Plachého 48 
2023/55279 ;30.07.2023 19:13;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Nad Štolou 21 
2023/54727 ;25.07.2023 6:37;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Brnìnská 7 
2023/54153 ;25.07.2023 13:54;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Náves 13 
2023/54151 ;25.07.2023 13:24;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Sulkovská 27/72 
2023/54100 ;25.07.2023 9:22;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Žižkova 66 
2023/54095 ;25.07.2023 9:07;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Brožíkova 30 
2023/54086 ;25.07.2023 8:28;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Vyøízeno ;0;Plzeò, Schwarzova 27 
2023/54081 ;25.07.2023 8:19;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Vyøízeno ;0;Plzeò, Tomanova 10 
2023/54078 ;25.07.2023 8:41;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Vyøízeno, Provedena lustrace vozidla ;0;Plzeò, Zikmunda Wintra 28 
