Èíslo jednací ;Datum a èas ;Typ události ;Typ podrobnì ;Zpùsob øešení ;Pokuta ;Ulice 
2022/62357 ;26.09.2022 17:57;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace øidièe v CEØ, Pøedáno - Mìsto / Obec ;0;Plzeò, ROKYCANSKÁ 44 
2022/62079 ;25.09.2022 19:10;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, TÌŠÍNSKÁ 19 
2022/61585 ;22.09.2022 20:51;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace øidièe v CEØ ;0;Plzeò, NÁKUPNÍ 7 
2022/61251 ;21.09.2022 17:15;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace øidièe v CEØ, Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, PARTYZÁNSKÁ 1 
2022/61153 ;21.09.2022 9:13;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, KOTKOVA 
2022/61135 ;21.09.2022 9:27;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, DENISOVO NÁBØEŽÍ 
2022/60913 ;20.09.2022 11:55;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Výzva pro nepøítomného øidièe - lístek za stìraè, Provedena lustrace øidièe v CEØ, Pøedáno - Mìsto / Obec ;0;Plzeò, PREŠOVSKÁ 20 
2022/60522 ;18.09.2022 16:11;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace øidièe v CEØ, Pøedáno - Mìsto / Obec ;0;Plzeò, SMRKOVÁ 3 
2022/60509 ;18.09.2022 7:04;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace øidièe v CEØ ;0;Plzeò, SMRKOVÁ 3 
2022/60493 ;18.09.2022 6:58;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace øidièe v CEØ, Pøedáno - Mìsto / Obec ;0;Plzeò, POD ŠVABINAMI 40 
